OrderID,OrderDate,RequiredDate,ShippedDate,ShipName,ShipCountry,ShipRegion,ShipAddress,ShipPostalCode,ShipCity
10420,1997-01-21 00:00:00,1997-02-18 00:00:00,1997-01-27 00:00:00,Wellington Importadora,Brazil,SP,"Rua do Mercado, 12",08737-363,Resende
10421,1997-01-21 00:00:00,1997-03-04 00:00:00,1997-01-27 00:00:00,Que Delícia,Brazil,RJ,"Rua da Panificadora, 12",02389-673,Rio de Janeiro
10422,1997-01-22 00:00:00,1997-02-19 00:00:00,1997-01-31 00:00:00,Franchi S.p.A.,Italy,,Via Monte Bianco 34,10100,Torino
10423,1997-01-23 00:00:00,1997-02-06 00:00:00,1997-02-24 00:00:00,Gourmet Lanchonetes,Brazil,SP,"Av. Brasil, 442",04876-786,Campinas
10424,1997-01-23 00:00:00,1997-02-20 00:00:00,1997-01-27 00:00:00,Mère Paillarde,Canada,Québec,43 rue St. Laurent,H1J 1C3,Montréal
10425,1997-01-24 00:00:00,1997-02-21 00:00:00,1997-02-14 00:00:00,La maison d'Asie,France,,1 rue Alsace-Lorraine,31000,Toulouse
10426,1997-01-27 00:00:00,1997-02-24 00:00:00,1997-02-06 00:00:00,Galería del gastronómo,Spain,,"Rambla de Cataluña, 23",8022,Barcelona
10427,1997-01-27 00:00:00,1997-02-24 00:00:00,1997-03-03 00:00:00,Piccolo und mehr,Austria,,Geislweg 14,5020,Salzburg
10428,1997-01-28 00:00:00,1997-02-25 00:00:00,1997-02-04 00:00:00,Reggiani Caseifici,Italy,,Strada Provinciale 124,42100,Reggio Emilia
10429,1997-01-29 00:00:00,1997-03-12 00:00:00,1997-02-07 00:00:00,Hungry Owl All-Night Grocers,Ireland,Co. Cork,8 Johnstown Road,,Cork
10430,1997-01-30 00:00:00,1997-02-13 00:00:00,1997-02-03 00:00:00,Ernst Handel,Austria,,Kirchgasse 6,8010,Graz
10431,1997-01-30 00:00:00,1997-02-13 00:00:00,1997-02-07 00:00:00,Bottom-Dollar Markets,Canada,BC,23 Tsawassen Blvd.,T2F 8M4,Tsawassen
10432,1997-01-31 00:00:00,1997-02-14 00:00:00,1997-02-07 00:00:00,Split Rail Beer & Ale,USA,WY,P.O. Box 555,82520,Lander
10433,1997-02-03 00:00:00,1997-03-03 00:00:00,1997-03-04 00:00:00,Princesa Isabel Vinhos,Portugal,,Estrada da saúde n. 58,1756,Lisboa
10434,1997-02-03 00:00:00,1997-03-03 00:00:00,1997-02-13 00:00:00,Folk och fä HB,Sweden,,Åkergatan 24,S-844 67,Bräcke
10435,1997-02-04 00:00:00,1997-03-18 00:00:00,1997-02-07 00:00:00,Consolidated Holdings,UK,,Berkeley Gardens 12  Brewery,WX1 6LT,London
10436,1997-02-05 00:00:00,1997-03-05 00:00:00,1997-02-11 00:00:00,Blondel père et fils,France,,"24, place Kléber",67000,Strasbourg
10437,1997-02-05 00:00:00,1997-03-05 00:00:00,1997-02-12 00:00:00,Wartian Herkku,Finland,,Torikatu 38,90110,Oulu
10438,1997-02-06 00:00:00,1997-03-06 00:00:00,1997-02-14 00:00:00,Toms Spezialitäten,Germany,,Luisenstr. 48,44087,Münster
10439,1997-02-07 00:00:00,1997-03-07 00:00:00,1997-02-10 00:00:00,Mère Paillarde,Canada,Québec,43 rue St. Laurent,H1J 1C3,Montréal
10440,1997-02-10 00:00:00,1997-03-10 00:00:00,1997-02-28 00:00:00,Save-a-lot Markets,USA,ID,187 Suffolk Ln.,83720,Boise
10441,1997-02-10 00:00:00,1997-03-24 00:00:00,1997-03-14 00:00:00,Old World Delicatessen,USA,AK,2743 Bering St.,99508,Anchorage
10442,1997-02-11 00:00:00,1997-03-11 00:00:00,1997-02-18 00:00:00,Ernst Handel,Austria,,Kirchgasse 6,8010,Graz
10443,1997-02-12 00:00:00,1997-03-12 00:00:00,1997-02-14 00:00:00,Reggiani Caseifici,Italy,,Strada Provinciale 124,42100,Reggio Emilia
10444,1997-02-12 00:00:00,1997-03-12 00:00:00,1997-02-21 00:00:00,Berglunds snabbköp,Sweden,,Berguvsvägen  8,S-958 22,Luleå
10445,1997-02-13 00:00:00,1997-03-13 00:00:00,1997-02-20 00:00:00,Berglunds snabbköp,Sweden,,Berguvsvägen  8,S-958 22,Luleå
10446,1997-02-14 00:00:00,1997-03-14 00:00:00,1997-02-19 00:00:00,Toms Spezialitäten,Germany,,Luisenstr. 48,44087,Münster
10447,1997-02-14 00:00:00,1997-03-14 00:00:00,1997-03-07 00:00:00,Ricardo Adocicados,Brazil,RJ,"Av. Copacabana, 267",02389-890,Rio de Janeiro
10448,1997-02-17 00:00:00,1997-03-17 00:00:00,1997-02-24 00:00:00,Rancho grande,Argentina,,Av. del Libertador 900,1010,Buenos Aires
10449,1997-02-18 00:00:00,1997-03-18 00:00:00,1997-02-27 00:00:00,Blondel père et fils,France,,"24, place Kléber",67000,Strasbourg
10450,1997-02-19 00:00:00,1997-03-19 00:00:00,1997-03-11 00:00:00,Victuailles en stock,France,,"2, rue du Commerce",69004,Lyon
10451,1997-02-19 00:00:00,1997-03-05 00:00:00,1997-03-12 00:00:00,QUICK-Stop,Germany,,Taucherstraße 10,01307,Cunewalde
10452,1997-02-20 00:00:00,1997-03-20 00:00:00,1997-02-26 00:00:00,Save-a-lot Markets,USA,ID,187 Suffolk Ln.,83720,Boise
10453,1997-02-21 00:00:00,1997-03-21 00:00:00,1997-02-26 00:00:00,Around the Horn,UK,Essex,Brook Farm Stratford St. Mary,CO7 6JX,Colchester
10454,1997-02-21 00:00:00,1997-03-21 00:00:00,1997-02-25 00:00:00,La maison d'Asie,France,,1 rue Alsace-Lorraine,31000,Toulouse
10455,1997-02-24 00:00:00,1997-04-07 00:00:00,1997-03-03 00:00:00,Wartian Herkku,Finland,,Torikatu 38,90110,Oulu
10456,1997-02-25 00:00:00,1997-04-08 00:00:00,1997-02-28 00:00:00,Königlich Essen,Germany,,Maubelstr. 90,14776,Brandenburg
10457,1997-02-25 00:00:00,1997-03-25 00:00:00,1997-03-03 00:00:00,Königlich Essen,Germany,,Maubelstr. 90,14776,Brandenburg
10458,1997-02-26 00:00:00,1997-03-26 00:00:00,1997-03-04 00:00:00,Suprêmes délices,Belgium,,"Boulevard Tirou, 255",B-6000,Charleroi
10459,1997-02-27 00:00:00,1997-03-27 00:00:00,1997-02-28 00:00:00,Victuailles en stock,France,,"2, rue du Commerce",69004,Lyon
10460,1997-02-28 00:00:00,1997-03-28 00:00:00,1997-03-03 00:00:00,Folk och fä HB,Sweden,,Åkergatan 24,S-844 67,Bräcke
10461,1997-02-28 00:00:00,1997-03-28 00:00:00,1997-03-05 00:00:00,LILA-Supermercado,Venezuela,Lara,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,3508,Barquisimeto
10462,1997-03-03 00:00:00,1997-03-31 00:00:00,1997-03-18 00:00:00,Consolidated Holdings,UK,,Berkeley Gardens 12  Brewery,WX1 6LT,London
10463,1997-03-04 00:00:00,1997-04-01 00:00:00,1997-03-06 00:00:00,Suprêmes délices,Belgium,,"Boulevard Tirou, 255",B-6000,Charleroi
10464,1997-03-04 00:00:00,1997-04-01 00:00:00,1997-03-14 00:00:00,Furia Bacalhau e Frutos do Mar,Portugal,,Jardim das rosas n. 32,1675,Lisboa
10465,1997-03-05 00:00:00,1997-04-02 00:00:00,1997-03-14 00:00:00,Vaffeljernet,Denmark,,Smagsloget 45,8200,Århus
10466,1997-03-06 00:00:00,1997-04-03 00:00:00,1997-03-13 00:00:00,Comércio Mineiro,Brazil,SP,"Av. dos Lusíadas, 23",05432-043,Sao Paulo
10467,1997-03-06 00:00:00,1997-04-03 00:00:00,1997-03-11 00:00:00,Magazzini Alimentari Riuniti,Italy,,Via Ludovico il Moro 22,24100,Bergamo
10468,1997-03-07 00:00:00,1997-04-04 00:00:00,1997-03-12 00:00:00,Königlich Essen,Germany,,Maubelstr. 90,14776,Brandenburg
10469,1997-03-10 00:00:00,1997-04-07 00:00:00,1997-03-14 00:00:00,White Clover Markets,USA,WA,1029 - 12th Ave. S.,98124,Seattle
10470,1997-03-11 00:00:00,1997-04-08 00:00:00,1997-03-14 00:00:00,Bon app',France,,"12, rue des Bouchers",13008,Marseille
10471,1997-03-11 00:00:00,1997-04-08 00:00:00,1997-03-18 00:00:00,B's Beverages,UK,,Fauntleroy Circus,EC2 5NT,London
10472,1997-03-12 00:00:00,1997-04-09 00:00:00,1997-03-19 00:00:00,Seven Seas Imports,UK,,90 Wadhurst Rd.,OX15 4NB,London
10473,1997-03-13 00:00:00,1997-03-27 00:00:00,1997-03-21 00:00:00,Island Trading,UK,Isle of Wight,Garden House Crowther Way,PO31 7PJ,Cowes
10474,1997-03-13 00:00:00,1997-04-10 00:00:00,1997-03-21 00:00:00,Pericles Comidas clásicas,Mexico,,Calle Dr. Jorge Cash 321,05033,México D.F.
10475,1997-03-14 00:00:00,1997-04-11 00:00:00,1997-04-04 00:00:00,Suprêmes délices,Belgium,,"Boulevard Tirou, 255",B-6000,Charleroi
10476,1997-03-17 00:00:00,1997-04-14 00:00:00,1997-03-24 00:00:00,HILARION-Abastos,Venezuela,Táchira,Carrera 22 con Ave. Carlos Soublette #8-35,5022,San Cristóbal
10477,1997-03-17 00:00:00,1997-04-14 00:00:00,1997-03-25 00:00:00,Princesa Isabel Vinhos,Portugal,,Estrada da saúde n. 58,1756,Lisboa
10478,1997-03-18 00:00:00,1997-04-01 00:00:00,1997-03-26 00:00:00,Victuailles en stock,France,,"2, rue du Commerce",69004,Lyon
10479,1997-03-19 00:00:00,1997-04-16 00:00:00,1997-03-21 00:00:00,Rattlesnake Canyon Grocery,USA,NM,2817 Milton Dr.,87110,Albuquerque
10480,1997-03-20 00:00:00,1997-04-17 00:00:00,1997-03-24 00:00:00,Folies gourmandes,France,,"184, chaussée de Tournai",59000,Lille
10481,1997-03-20 00:00:00,1997-04-17 00:00:00,1997-03-25 00:00:00,Ricardo Adocicados,Brazil,RJ,"Av. Copacabana, 267",02389-890,Rio de Janeiro
10482,1997-03-21 00:00:00,1997-04-18 00:00:00,1997-04-10 00:00:00,Lazy K Kountry Store,USA,WA,12 Orchestra Terrace,99362,Walla Walla
10483,1997-03-24 00:00:00,1997-04-21 00:00:00,1997-04-25 00:00:00,White Clover Markets,USA,WA,1029 - 12th Ave. S.,98124,Seattle
10484,1997-03-24 00:00:00,1997-04-21 00:00:00,1997-04-01 00:00:00,B's Beverages,UK,,Fauntleroy Circus,EC2 5NT,London
10485,1997-03-25 00:00:00,1997-04-08 00:00:00,1997-03-31 00:00:00,LINO-Delicateses,Venezuela,Nueva Esparta,Ave. 5 de Mayo Porlamar,4980,I. de Margarita
10486,1997-03-26 00:00:00,1997-04-23 00:00:00,1997-04-02 00:00:00,HILARION-Abastos,Venezuela,Táchira,Carrera 22 con Ave. Carlos Soublette #8-35,5022,San Cristóbal
10487,1997-03-26 00:00:00,1997-04-23 00:00:00,1997-03-28 00:00:00,Queen Cozinha,Brazil,SP,"Alameda dos Canàrios, 891",05487-020,Sao Paulo
10488,1997-03-27 00:00:00,1997-04-24 00:00:00,1997-04-02 00:00:00,Frankenversand,Germany,,Berliner Platz 43,80805,München
10489,1997-03-28 00:00:00,1997-04-25 00:00:00,1997-04-09 00:00:00,Piccolo und mehr,Austria,,Geislweg 14,5020,Salzburg
10490,1997-03-31 00:00:00,1997-04-28 00:00:00,1997-04-03 00:00:00,HILARION-Abastos,Venezuela,Táchira,Carrera 22 con Ave. Carlos Soublette #8-35,5022,San Cristóbal
10491,1997-03-31 00:00:00,1997-04-28 00:00:00,1997-04-08 00:00:00,Furia Bacalhau e Frutos do Mar,Portugal,,Jardim das rosas n. 32,1675,Lisboa
10492,1997-04-01 00:00:00,1997-04-29 00:00:00,1997-04-11 00:00:00,Bottom-Dollar Markets,Canada,BC,23 Tsawassen Blvd.,T2F 8M4,Tsawassen
10493,1997-04-02 00:00:00,1997-04-30 00:00:00,1997-04-10 00:00:00,La maison d'Asie,France,,1 rue Alsace-Lorraine,31000,Toulouse
10494,1997-04-02 00:00:00,1997-04-30 00:00:00,1997-04-09 00:00:00,Comércio Mineiro,Brazil,SP,"Av. dos Lusíadas, 23",05432-043,Sao Paulo
10495,1997-04-03 00:00:00,1997-05-01 00:00:00,1997-04-11 00:00:00,Laughing Bacchus Wine Cellars,Canada,BC,2319 Elm St.,V3F 2K1,Vancouver
10496,1997-04-04 00:00:00,1997-05-02 00:00:00,1997-04-07 00:00:00,Tradiçao Hipermercados,Brazil,SP,"Av. Inês de Castro, 414",05634-030,Sao Paulo
10497,1997-04-04 00:00:00,1997-05-02 00:00:00,1997-04-07 00:00:00,Lehmanns Marktstand,Germany,,Magazinweg 7,60528,Frankfurt a.M.
10498,1997-04-07 00:00:00,1997-05-05 00:00:00,1997-04-11 00:00:00,HILARION-Abastos,Venezuela,Táchira,Carrera 22 con Ave. Carlos Soublette #8-35,5022,San Cristóbal
10499,1997-04-08 00:00:00,1997-05-06 00:00:00,1997-04-16 00:00:00,LILA-Supermercado,Venezuela,Lara,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,3508,Barquisimeto
10500,1997-04-09 00:00:00,1997-05-07 00:00:00,1997-04-17 00:00:00,La maison d'Asie,France,,1 rue Alsace-Lorraine,31000,Toulouse
10501,1997-04-09 00:00:00,1997-05-07 00:00:00,1997-04-16 00:00:00,Blauer See Delikatessen,Germany,,Forsterstr. 57,68306,Mannheim
10502,1997-04-10 00:00:00,1997-05-08 00:00:00,1997-04-29 00:00:00,Pericles Comidas clásicas,Mexico,,Calle Dr. Jorge Cash 321,05033,México D.F.
10503,1997-04-11 00:00:00,1997-05-09 00:00:00,1997-04-16 00:00:00,Hungry Owl All-Night Grocers,Ireland,Co. Cork,8 Johnstown Road,,Cork
10504,1997-04-11 00:00:00,1997-05-09 00:00:00,1997-04-18 00:00:00,White Clover Markets,USA,WA,1029 - 12th Ave. S.,98124,Seattle
10505,1997-04-14 00:00:00,1997-05-12 00:00:00,1997-04-21 00:00:00,Mère Paillarde,Canada,Québec,43 rue St. Laurent,H1J 1C3,Montréal
10506,1997-04-15 00:00:00,1997-05-13 00:00:00,1997-05-02 00:00:00,Königlich Essen,Germany,,Maubelstr. 90,14776,Brandenburg
10507,1997-04-15 00:00:00,1997-05-13 00:00:00,1997-04-22 00:00:00,Antonio Moreno Taquería,Mexico,,Mataderos  2312,05023,México D.F.
10508,1997-04-16 00:00:00,1997-05-14 00:00:00,1997-05-13 00:00:00,Ottilies Käseladen,Germany,,Mehrheimerstr. 369,50739,Köln
10509,1997-04-17 00:00:00,1997-05-15 00:00:00,1997-04-29 00:00:00,Blauer See Delikatessen,Germany,,Forsterstr. 57,68306,Mannheim
10510,1997-04-18 00:00:00,1997-05-16 00:00:00,1997-04-28 00:00:00,Save-a-lot Markets,USA,ID,187 Suffolk Ln.,83720,Boise
10511,1997-04-18 00:00:00,1997-05-16 00:00:00,1997-04-21 00:00:00,Bon app',France,,"12, rue des Bouchers",13008,Marseille
10512,1997-04-21 00:00:00,1997-05-19 00:00:00,1997-04-24 00:00:00,Familia Arquibaldo,Brazil,SP,"Rua Orós, 92",05442-030,Sao Paulo
10513,1997-04-22 00:00:00,1997-06-03 00:00:00,1997-04-28 00:00:00,Die Wandernde Kuh,Germany,,Adenauerallee 900,70563,Stuttgart
10514,1997-04-22 00:00:00,1997-05-20 00:00:00,1997-05-16 00:00:00,Ernst Handel,Austria,,Kirchgasse 6,8010,Graz
10515,1997-04-23 00:00:00,1997-05-07 00:00:00,1997-05-23 00:00:00,QUICK-Stop,Germany,,Taucherstraße 10,01307,Cunewalde
10516,1997-04-24 00:00:00,1997-05-22 00:00:00,1997-05-01 00:00:00,Hungry Owl All-Night Grocers,Ireland,Co. Cork,8 Johnstown Road,,Cork
10517,1997-04-24 00:00:00,1997-05-22 00:00:00,1997-04-29 00:00:00,North/South,UK,,South House 300 Queensbridge,SW7 1RZ,London
10518,1997-04-25 00:00:00,1997-05-09 00:00:00,1997-05-05 00:00:00,Tortuga Restaurante,Mexico,,Avda. Azteca 123,05033,México D.F.
10519,1997-04-28 00:00:00,1997-05-26 00:00:00,1997-05-01 00:00:00,Chop-suey Chinese,Switzerland,,Hauptstr. 31,3012,Bern
10520,1997-04-29 00:00:00,1997-05-27 00:00:00,1997-05-01 00:00:00,Santé Gourmet,Norway,,Erling Skakkes gate 78,4110,Stavern
10521,1997-04-29 00:00:00,1997-05-27 00:00:00,1997-05-02 00:00:00,Cactus Comidas para llevar,Argentina,,Cerrito 333,1010,Buenos Aires
10522,1997-04-30 00:00:00,1997-05-28 00:00:00,1997-05-06 00:00:00,Lehmanns Marktstand,Germany,,Magazinweg 7,60528,Frankfurt a.M.
10523,1997-05-01 00:00:00,1997-05-29 00:00:00,1997-05-30 00:00:00,Seven Seas Imports,UK,,90 Wadhurst Rd.,OX15 4NB,London
10524,1997-05-01 00:00:00,1997-05-29 00:00:00,1997-05-07 00:00:00,Berglunds snabbköp,Sweden,,Berguvsvägen  8,S-958 22,Luleå
10525,1997-05-02 00:00:00,1997-05-30 00:00:00,1997-05-23 00:00:00,Bon app',France,,"12, rue des Bouchers",13008,Marseille
10526,1997-05-05 00:00:00,1997-06-02 00:00:00,1997-05-15 00:00:00,Wartian Herkku,Finland,,Torikatu 38,90110,Oulu
10527,1997-05-05 00:00:00,1997-06-02 00:00:00,1997-05-07 00:00:00,QUICK-Stop,Germany,,Taucherstraße 10,01307,Cunewalde
10528,1997-05-06 00:00:00,1997-05-20 00:00:00,1997-05-09 00:00:00,Great Lakes Food Market,USA,OR,2732 Baker Blvd.,97403,Eugene
10529,1997-05-07 00:00:00,1997-06-04 00:00:00,1997-05-09 00:00:00,Maison Dewey,Belgium,,Rue Joseph-Bens 532,B-1180,Bruxelles
10530,1997-05-08 00:00:00,1997-06-05 00:00:00,1997-05-12 00:00:00,Piccolo und mehr,Austria,,Geislweg 14,5020,Salzburg
10531,1997-05-08 00:00:00,1997-06-05 00:00:00,1997-05-19 00:00:00,Océano Atlántico Ltda.,Argentina,,Ing. Gustavo Moncada 8585 Piso 20-A,1010,Buenos Aires
10532,1997-05-09 00:00:00,1997-06-06 00:00:00,1997-05-12 00:00:00,Eastern Connection,UK,,35 King George,WX3 6FW,London
10533,1997-05-12 00:00:00,1997-06-09 00:00:00,1997-05-22 00:00:00,Folk och fä HB,Sweden,,Åkergatan 24,S-844 67,Bräcke
10534,1997-05-12 00:00:00,1997-06-09 00:00:00,1997-05-14 00:00:00,Lehmanns Marktstand,Germany,,Magazinweg 7,60528,Frankfurt a.M.
10535,1997-05-13 00:00:00,1997-06-10 00:00:00,1997-05-21 00:00:00,Antonio Moreno Taquería,Mexico,,Mataderos  2312,05023,México D.F.
10536,1997-05-14 00:00:00,1997-06-11 00:00:00,1997-06-06 00:00:00,Lehmanns Marktstand,Germany,,Magazinweg 7,60528,Frankfurt a.M.
10537,1997-05-14 00:00:00,1997-05-28 00:00:00,1997-05-19 00:00:00,Richter Supermarkt,Switzerland,,Starenweg 5,1204,Genève
10538,1997-05-15 00:00:00,1997-06-12 00:00:00,1997-05-16 00:00:00,B's Beverages,UK,,Fauntleroy Circus,EC2 5NT,London
10539,1997-05-16 00:00:00,1997-06-13 00:00:00,1997-05-23 00:00:00,B's Beverages,UK,,Fauntleroy Circus,EC2 5NT,London
10540,1997-05-19 00:00:00,1997-06-16 00:00:00,1997-06-13 00:00:00,QUICK-Stop,Germany,,Taucherstraße 10,01307,Cunewalde
10541,1997-05-19 00:00:00,1997-06-16 00:00:00,1997-05-29 00:00:00,Hanari Carnes,Brazil,RJ,"Rua do Paço, 67",05454-876,Rio de Janeiro
10542,1997-05-20 00:00:00,1997-06-17 00:00:00,1997-05-26 00:00:00,Königlich Essen,Germany,,Maubelstr. 90,14776,Brandenburg
10543,1997-05-21 00:00:00,1997-06-18 00:00:00,1997-05-23 00:00:00,LILA-Supermercado,Venezuela,Lara,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,3508,Barquisimeto
10544,1997-05-21 00:00:00,1997-06-18 00:00:00,1997-05-30 00:00:00,Lonesome Pine Restaurant,USA,OR,89 Chiaroscuro Rd.,97219,Portland
10545,1997-05-22 00:00:00,1997-06-19 00:00:00,1997-06-26 00:00:00,Lazy K Kountry Store,USA,WA,12 Orchestra Terrace,99362,Walla Walla
10546,1997-05-23 00:00:00,1997-06-20 00:00:00,1997-05-27 00:00:00,Victuailles en stock,France,,"2, rue du Commerce",69004,Lyon
10547,1997-05-23 00:00:00,1997-06-20 00:00:00,1997-06-02 00:00:00,Seven Seas Imports,UK,,90 Wadhurst Rd.,OX15 4NB,London
10548,1997-05-26 00:00:00,1997-06-23 00:00:00,1997-06-02 00:00:00,Toms Spezialitäten,Germany,,Luisenstr. 48,44087,Münster
10549,1997-05-27 00:00:00,1997-06-10 00:00:00,1997-05-30 00:00:00,QUICK-Stop,Germany,,Taucherstraße 10,01307,Cunewalde
10550,1997-05-28 00:00:00,1997-06-25 00:00:00,1997-06-06 00:00:00,Godos Cocina Típica,Spain,,"C/ Romero, 33",41101,Sevilla
10551,1997-05-28 00:00:00,1997-07-09 00:00:00,1997-06-06 00:00:00,Furia Bacalhau e Frutos do Mar,Portugal,,Jardim das rosas n. 32,1675,Lisboa
10552,1997-05-29 00:00:00,1997-06-26 00:00:00,1997-06-05 00:00:00,HILARION-Abastos,Venezuela,Táchira,Carrera 22 con Ave. Carlos Soublette #8-35,5022,San Cristóbal
10553,1997-05-30 00:00:00,1997-06-27 00:00:00,1997-06-03 00:00:00,Wartian Herkku,Finland,,Torikatu 38,90110,Oulu
10554,1997-05-30 00:00:00,1997-06-27 00:00:00,1997-06-05 00:00:00,Ottilies Käseladen,Germany,,Mehrheimerstr. 369,50739,Köln
10555,1997-06-02 00:00:00,1997-06-30 00:00:00,1997-06-04 00:00:00,Save-a-lot Markets,USA,ID,187 Suffolk Ln.,83720,Boise
10556,1997-06-03 00:00:00,1997-07-15 00:00:00,1997-06-13 00:00:00,Simons bistro,Denmark,,Vinbæltet 34,1734,Kobenhavn
10557,1997-06-03 00:00:00,1997-06-17 00:00:00,1997-06-06 00:00:00,Lehmanns Marktstand,Germany,,Magazinweg 7,60528,Frankfurt a.M.
10558,1997-06-04 00:00:00,1997-07-02 00:00:00,1997-06-10 00:00:00,Around the Horn,UK,Essex,Brook Farm Stratford St. Mary,CO7 6JX,Colchester
10559,1997-06-05 00:00:00,1997-07-03 00:00:00,1997-06-13 00:00:00,Blondel père et fils,France,,"24, place Kléber",67000,Strasbourg
10560,1997-06-06 00:00:00,1997-07-04 00:00:00,1997-06-09 00:00:00,Frankenversand,Germany,,Berliner Platz 43,80805,München
10561,1997-06-06 00:00:00,1997-07-04 00:00:00,1997-06-09 00:00:00,Folk och fä HB,Sweden,,Åkergatan 24,S-844 67,Bräcke
10562,1997-06-09 00:00:00,1997-07-07 00:00:00,1997-06-12 00:00:00,Reggiani Caseifici,Italy,,Strada Provinciale 124,42100,Reggio Emilia
10563,1997-06-10 00:00:00,1997-07-22 00:00:00,1997-06-24 00:00:00,Ricardo Adocicados,Brazil,RJ,"Av. Copacabana, 267",02389-890,Rio de Janeiro
10564,1997-06-10 00:00:00,1997-07-08 00:00:00,1997-06-16 00:00:00,Rattlesnake Canyon Grocery,USA,NM,2817 Milton Dr.,87110,Albuquerque
10565,1997-06-11 00:00:00,1997-07-09 00:00:00,1997-06-18 00:00:00,Mère Paillarde,Canada,Québec,43 rue St. Laurent,H1J 1C3,Montréal
10566,1997-06-12 00:00:00,1997-07-10 00:00:00,1997-06-18 00:00:00,Blondel père et fils,France,,"24, place Kléber",67000,Strasbourg
10567,1997-06-12 00:00:00,1997-07-10 00:00:00,1997-06-17 00:00:00,Hungry Owl All-Night Grocers,Ireland,Co. Cork,8 Johnstown Road,,Cork
10568,1997-06-13 00:00:00,1997-07-11 00:00:00,1997-07-09 00:00:00,Galería del gastronómo,Spain,,"Rambla de Cataluña, 23",8022,Barcelona
10569,1997-06-16 00:00:00,1997-07-14 00:00:00,1997-07-11 00:00:00,Rattlesnake Canyon Grocery,USA,NM,2817 Milton Dr.,87110,Albuquerque
10570,1997-06-17 00:00:00,1997-07-15 00:00:00,1997-06-19 00:00:00,Mère Paillarde,Canada,Québec,43 rue St. Laurent,H1J 1C3,Montréal
10571,1997-06-17 00:00:00,1997-07-29 00:00:00,1997-07-04 00:00:00,Ernst Handel,Austria,,Kirchgasse 6,8010,Graz
10572,1997-06-18 00:00:00,1997-07-16 00:00:00,1997-06-25 00:00:00,Berglunds snabbköp,Sweden,,Berguvsvägen  8,S-958 22,Luleå
10573,1997-06-19 00:00:00,1997-07-17 00:00:00,1997-06-20 00:00:00,Antonio Moreno Taquería,Mexico,,Mataderos  2312,05023,México D.F.
10574,1997-06-19 00:00:00,1997-07-17 00:00:00,1997-06-30 00:00:00,Trail's Head Gourmet Provisioners,USA,WA,722 DaVinci Blvd.,98034,Kirkland
10575,1997-06-20 00:00:00,1997-07-04 00:00:00,1997-06-30 00:00:00,Morgenstern Gesundkost,Germany,,Heerstr. 22,04179,Leipzig
10576,1997-06-23 00:00:00,1997-07-07 00:00:00,1997-06-30 00:00:00,Tortuga Restaurante,Mexico,,Avda. Azteca 123,05033,México D.F.
10577,1997-06-23 00:00:00,1997-08-04 00:00:00,1997-06-30 00:00:00,Trail's Head Gourmet Provisioners,USA,WA,722 DaVinci Blvd.,98034,Kirkland
10578,1997-06-24 00:00:00,1997-07-22 00:00:00,1997-07-25 00:00:00,B's Beverages,UK,,Fauntleroy Circus,EC2 5NT,London
10579,1997-06-25 00:00:00,1997-07-23 00:00:00,1997-07-04 00:00:00,Let's Stop N Shop,USA,CA,87 Polk St. Suite 5,94117,San Francisco
10580,1997-06-26 00:00:00,1997-07-24 00:00:00,1997-07-01 00:00:00,Ottilies Käseladen,Germany,,Mehrheimerstr. 369,50739,Köln
10581,1997-06-26 00:00:00,1997-07-24 00:00:00,1997-07-02 00:00:00,Familia Arquibaldo,Brazil,SP,"Rua Orós, 92",05442-030,Sao Paulo
10582,1997-06-27 00:00:00,1997-07-25 00:00:00,1997-07-14 00:00:00,Blauer See Delikatessen,Germany,,Forsterstr. 57,68306,Mannheim
10583,1997-06-30 00:00:00,1997-07-28 00:00:00,1997-07-04 00:00:00,Wartian Herkku,Finland,,Torikatu 38,90110,Oulu
10584,1997-06-30 00:00:00,1997-07-28 00:00:00,1997-07-04 00:00:00,Blondel père et fils,France,,"24, place Kléber",67000,Strasbourg
10585,1997-07-01 00:00:00,1997-07-29 00:00:00,1997-07-10 00:00:00,Wellington Importadora,Brazil,SP,"Rua do Mercado, 12",08737-363,Resende
10586,1997-07-02 00:00:00,1997-07-30 00:00:00,1997-07-09 00:00:00,Reggiani Caseifici,Italy,,Strada Provinciale 124,42100,Reggio Emilia
10587,1997-07-02 00:00:00,1997-07-30 00:00:00,1997-07-09 00:00:00,Que Delícia,Brazil,RJ,"Rua da Panificadora, 12",02389-673,Rio de Janeiro
10588,1997-07-03 00:00:00,1997-07-31 00:00:00,1997-07-10 00:00:00,QUICK-Stop,Germany,,Taucherstraße 10,01307,Cunewalde
10589,1997-07-04 00:00:00,1997-08-01 00:00:00,1997-07-14 00:00:00,Great Lakes Food Market,USA,OR,2732 Baker Blvd.,97403,Eugene
10590,1997-07-07 00:00:00,1997-08-04 00:00:00,1997-07-14 00:00:00,Mère Paillarde,Canada,Québec,43 rue St. Laurent,H1J 1C3,Montréal
10591,1997-07-07 00:00:00,1997-07-21 00:00:00,1997-07-16 00:00:00,Vaffeljernet,Denmark,,Smagsloget 45,8200,Århus
10592,1997-07-08 00:00:00,1997-08-05 00:00:00,1997-07-16 00:00:00,Lehmanns Marktstand,Germany,,Magazinweg 7,60528,Frankfurt a.M.
